352,3.5,ACSL6,4
353,3.5,ADA,5
354,3.5,ADCY1,4
355,3.5,AK5,5
356,3.5,AKAP6,4
357,3.5,ARNT,5
358,3.5,BCAR1,5
359,3.5,BCL2L1,6
360,3.5,CACNA1F,4
361,3.5,CACNA2D3,4
362,3.5,CHL1,5
363,3.5,CIT,4
364,3.5,CTNNA2,4
365,3.5,CXCR4,5
366,3.5,CYLD,5
367,3.5,DAB2,4
368,3.5,DGKD,5
369,3.5,DOCK1,5
370,3.5,DUSP26,5
371,3.5,EIF4E,5
372,3.5,ERRFI1,4
373,3.5,FBLN1,5
374,3.5,GDA,4
375,3.5,GLI1,5
376,3.5,GNAI1,6
377,3.5,GRM1,6
378,3.5,HDAC6,4
379,3.5,HMGA2,5
380,3.5,HMGB1,4
381,3.5,HSD11B1,4
382,3.5,HSP90AB1,4
383,3.5,ICAM3,4
384,3.5,IMPA1,4
385,3.5,INPP4A,4
386,3.5,INPP5A,4
387,3.5,INPPL1,4
388,3.5,ITGAV,5
389,3.5,ITPK1,4
390,3.5,JUN,5
391,3.5,KEAP1,4
392,3.5,LCK,5
393,3.5,LCP1,4
394,3.5,LGALS3,6
395,3.5,LOX,6
396,3.5,MAPKBP1,5
397,3.5,MDC1,4
398,3.5,MGMT,5
399,3.5,MIF,5
400,3.5,MMP9,6
401,3.5,MSN,5
402,3.5,MYST3,4
403,3.5,NCOR2,4
404,3.5,NOV,4
405,3.5,NPM1,4
406,3.5,NR0B1,4
407,3.5,NUP133,4
408,3.5,NUP98,4
409,3.5,PAK6,4
410,3.5,PHLPP,6
411,3.5,PI4KA,4
412,3.5,PIK3C2B,5
413,3.5,PIM1,5
414,3.5,PIP4K2C,5
415,3.5,PLCB4,4
416,3.5,PMS1,5
417,3.5,POLR2E,4
418,3.5,PRKAR1A,4
419,3.5,PRKCB,6
420,3.5,PRKCD,5
421,3.5,PTBP1,5
422,3.5,PTPN6,4
423,3.5,PTPRA,4
424,3.5,RPN1,5
425,3.5,SAT1,6
426,3.5,5-Sep,4
427,3.5,SH3GL2,5
428,3.5,SIRT1,4
429,3.5,SNW1,4
430,3.5,SS18,4
431,3.5,STAT3,5
432,3.5,TAF1,5
433,3.5,TFRC,5
434,3.5,TNC,5
435,3.5,TOP1,6
436,3.5,TOPBP1,4
437,3.5,TSHR,4
438,3.5,UBE2C,4
439,3.5,USP7,4
440,3.5,WWOX,4
441,3.5,ZBTB16,4
442,3.25,AKT3,4
443,3.25,ALDH1A1,5
444,3.25,ANAPC2,4
445,3.25,BSG,4
446,3.25,CASC5,4
447,3.25,CCK,7
448,3.25,CCR1,4
449,3.25,CDC2,4
450,3.25,CDC25C,4
451,3.25,CHAT,5
452,3.25,CHIC2,4
453,3.25,CIITA,4
454,3.25,CKB,5
455,3.25,CSNK2A1,4
456,3.25,CYP1A1,4
457,3.25,CYP1A2,4
458,3.25,DAPK1,4
459,3.25,DLEC1,4
460,3.25,DST,5
461,3.25,EDN1,4
462,3.25,ELL,4
463,3.25,EPHA5,4
464,3.25,ERN1,4
465,3.25,FADD,4
466,3.25,FASN,4
467,3.25,FGF2,4
468,3.25,FGF9,5
469,3.25,GJA1,5
470,3.25,GNRH1,4
471,3.25,GSTP1,4
472,3.25,HNF1A,4
473,3.25,HOXA11,4
474,3.25,HSPA4,4
475,3.25,IGF1,4
476,3.25,IL3,4
477,3.25,IQGAP1,6
478,3.25,LATS1,4
479,3.25,LDHB,4
480,3.25,LIFR,4
481,3.25,LTK,4
482,3.25,MAD2L1,5
483,3.25,MAP2,6
484,3.25,MUSK,4
485,3.25,MYO18B,4
486,3.25,NCOA4,4
487,3.25,NKX2-1,4
488,3.25,NOS1,4
489,3.25,NUDT1,4
490,3.25,PARK2,4
491,3.25,PGK1,4
492,3.25,PIP4K2A,4
493,3.25,PLAGL1,4
494,3.25,PLAT,4
495,3.25,PLK1,4
496,3.25,PRKCI,4
497,3.25,PTK2B,6
498,3.25,PTPN1,5
499,3.25,RAC3,5
500,3.25,RCHY1,4
501,3.25,ROBO1,4
502,3.25,ROR1,4
503,3.25,RPL22,4
504,3.25,RRM1,4
505,3.25,SLC2A1,4
506,3.25,SSX4,4
507,3.25,STIL,4
508,3.25,SUV39H2,4
509,3.25,TGFBI,6
510,3.25,TIAM1,4
511,3.25,TRIP11,4
512,3.25,TYK2,5
513,3.25,TYMS,5
514,3.25,VEGFC,4
515,3,ABCA13,4
516,3,ABCA5,3
517,3,ABCD4,3
518,3,ABL2,3
519,3,ADAM12,5
520,3,ADAMTS12,3
521,3,ADAMTS20,4
522,3,ADAMTSL3,4
523,3,ADHFE1,3
524,3,AHR,4
525,3,AKAP9,3
526,3,AKR1C3,5
527,3,ALDH1A3,4
